,Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
123,08-09-2015,2.742,8253.0,6.13,11,1.137,91,16,29,763.0
124,09-09-2015,4.351,22238.0,16.52,16,355.0,407,87,85,3181.0
125,10-09-2015,2.967,10650.0,7.91,15,940.0,198,38,42,1421.0
126,11-09-2015,3.054,12038.0,8.94,14,700.0,201,44,57,1530.0
127,12-09-2015,2.937,11480.0,8.53,2,462.0,315,8,13,1481.0
128,13-09-2015,2.977,9199.0,6.84,5,600.0,361,15,8,1564.0
129,14-09-2015,2.947,9564.0,7.11,16,1.1179999999999999,168,43,46,1355.0
130,15-09-2015,2.821,9019.0,6.7,13,755.0,144,72,25,1247.0
131,16-09-2015,3.0410000000000004,10239.0,7.61,13,675.0,192,35,46,1464.0
132,17-09-2015,2.7960000000000003,7739.0,5.75,14,741.0,211,17,10,1140.0
133,18-09-2015,2.978,12620.0,9.38,9,773.0,170,59,39,1419.0
134,19-09-2015,3.16,14226.0,10.57,11,669.0,291,35,41,1736.0
135,20-09-2015,2.325,3858.0,2.87,1,1.255,185,0,0,700.0
136,21-09-2015,3.458,17603.0,13.08,35,1.053,223,56,67,1912.0
137,22-09-2015,2.988,10699.0,7.95,17,655.0,252,32,21,1471.0
138,23-09-2015,2.5610000000000004,7261.0,5.39,17,908.0,135,14,18,869.0
139,24-09-2015,3.159,10608.0,7.88,17,1.107,177,63,52,1600.0
140,25-09-2015,3.193,12271.0,9.12,7,548.0,323,34,24,1799.0
141,26-09-2015,2.9339999999999997,9998.0,7.45,2,782.0,327,0,0,1431.0
142,27-09-2015,2.589,5757.0,4.28,1,800.0,270,0,0,1033.0
143,28-09-2015,2.8739999999999997,8995.0,6.68,13,826.0,171,45,33,1290.0
144,29-09-2015,2.7569999999999997,7553.0,5.61,13,789.0,163,54,15,1146.0
145,30-09-2015,2.714,6494.0,4.83,11,711.0,208,26,5,1092.0
146,01-10-2015,2.7119999999999997,7951.0,5.91,11,667.0,191,40,9,1126.0
147,02-10-2015,2.8089999999999997,7424.0,5.52,8,801.0,179,43,25,1206.0
148,03-10-2015,2.322,6813.0,5.06,0,1.315,75,41,9,667.0
149,04-10-2015,2.319,3991.0,2.97,1,1.136,163,0,0,645.0
150,05-10-2015,2.859,9725.0,7.23,6,988.0,268,24,14,1378.0
151,06-10-2015,2.978,8936.0,6.64,16,780.0,205,46,27,1383.0
152,07-10-2015,2.678,6565.0,4.88,10,841.0,157,27,20,1008.9999999999999
153,08-10-2015,2.767,7865.0,5.84,15,1.1179999999999999,204,32,13,1178.0
154,09-10-2015,2.549,8718.0,6.48,10,976.0,65,0,0,258.0
155,10-10-2015,2.918,12364.0,9.22,0,1.046,234,29,32,1423.0
156,11-10-2015,2.509,5216.0,3.88,1,1.2429999999999999,175,17,5,878.0
157,12-10-2015,2.687,6580.0,4.89,10,1.246,104,57,33,1059.0
158,13-10-2015,2.698,7015.0,5.21,10,1.244,130,37,29,1036.0
159,14-10-2015,2.6210000000000004,8103.0,6.02,5,1.219,215,4,2,1016.9999999999999
160,15-10-2015,2.698,6962.0,5.17,11,1.234,115,57,28,1075.0
161,16-10-2015,3.295,16478.0,12.3,12,643.0,304,8,43,1833.0
162,17-10-2015,2.8710000000000004,11603.0,8.62,3,732.0,236,38,22,1384.0
163,18-10-2015,2.8989999999999996,11429.0,8.49,0,962.0,269,8,17,1390.0
164,19-10-2015,2.5810000000000004,6293.0,4.68,1,854.0,226,0,0,956.0
165,20-10-2015,2.6719999999999997,7269.0,5.4,14,1.29,105,22,23,791.0
166,21-10-2015,2.406,4471.0,3.32,2,1.1340000000000001,165,0,0,686.0
167,22-10-2015,3.41,17913.0,13.31,7,1.053,210,39,75,1851.0
168,23-10-2015,2.511,5431.0,4.04,1,678.0,166,9,13,808.0
169,24-10-2015,2.907,11672.0,8.67,0,663.0,222,48,29,1401.0
170,25-10-2015,3.435,14777.0,10.98,0,597.0,302,57,39,1943.0
171,26-10-2015,2.931,9171.0,6.81,9,767.0,273,30,7,1414.0
172,27-10-2015,2.867,8807.0,6.54,11,810.0,224,29,12,1275.0
173,28-10-2015,2.47,5623.0,4.18,2,779.0,170,19,3,817.0
174,29-10-2015,3.109,12910.0,9.59,20,1.091,258,24,20,1519.0
175,30-10-2015,2.9419999999999997,8805.0,6.54,12,821.0,170,51,29,1264.0
176,31-10-2015,2.736,7107.0,5.28,0,510.0,277,0,0,1162.0
177,01-11-2015,2.395,3862.0,2.87,0,889.0,166,0,0,661.0
178,02-11-2015,2.59,7368.0,5.47,13,1.2790000000000001,126,22,13,777.0
179,03-11-2015,2.403,6269.0,4.66,9,1.43,10,0,0,37.0
180,04-11-2015,2.917,8520.0,6.33,14,662.0,191,43,24,1294.0
181,05-11-2015,2.8510000000000004,8116.0,6.03,13,827.0,228,37,8,1258.0
182,06-11-2015,2.82,8268.0,6.14,14,776.0,145,75,22,1218.0
183,07-11-2015,3.69,14489.0,10.77,0,525.0,280,52,68,2285.0
184,08-11-2015,3.0669999999999997,9212.0,6.84,2,508.0,198,27,53,1510.0
185,09-11-2015,2.8280000000000003,9500.0,7.06,0,756.0,218,28,13,1225.0
186,10-11-2015,3.3360000000000003,11151.0,8.29,1,705.0,198,40,79,1799.0
187,11-11-2015,2.867,12351.0,9.18,1,981.0,181,66,24,1353.0
188,12-11-2015,2.847,10670.0,7.93,1,684.0,162,17,61,1228.0
189,13-11-2015,2.46,5574.0,4.14,1,1.209,156,8,16,778.0
190,14-11-2015,3.445,11587.0,8.61,4,608.0,159,41,103,1953.0
191,15-11-2015,2.853,9499.0,7.06,2,738.0,167,28,44,1219.0
192,16-11-2015,3.59,13788.0,10.53,18,978.0,282,31,61,1990.0
193,17-11-2015,3.792,18361.0,13.72,33,543.0,366,73,42,2462.0
194,18-11-2015,3.222,14055.0,10.44,10,673.0,268,53,27,1771.0
195,19-11-2015,3.092,11927.0,8.86,9,726.0,305,21,37,1650.0
196,20-11-2015,3.395,15221.0,11.31,6,464.0,316,40,58,2004.0
197,21-11-2015,2.802,8568.0,6.42,1,1.1740000000000002,249,3,14,1209.0
198,22-11-2015,2.177,3284.0,2.44,0,1.2690000000000001,98,3,8,477.0
199,23-11-2015,3.035,9408.0,6.99,1,682.0,295,31,14,1552.0
200,24-11-2015,2.843,10261.0,7.62,1,1.182,210,2,46,1262.0
201,25-11-2015,2.8289999999999997,8218.0,6.11,22,1.1420000000000001,155,50,22,1177.0
202,26-11-2015,3.076,9760.0,7.25,13,1.13,214,61,30,1502.0
203,27-11-2015,3.242,10769.0,8.0,17,725.0,222,60,42,1711.0
204,28-11-2015,3.2539999999999996,11671.0,8.7,5,643.0,375,7,15,1776.0
205,29-11-2015,3.247,14444.0,10.73,14,618.0,258,39,51,1821.0
206,30-11-2015,4.012,23313.0,17.32,16,550.0,389,67,75,2743.0
207,01-12-2015,3.2319999999999998,16810.0,12.49,14,750.0,152,9,97,1618.0
208,02-12-2015,3.125,10745.0,8.01,10,634.0,174,48,62,1559.0
209,03-12-2015,3.165,10784.0,8.04,14,774.0,201,25,68,1600.0
210,04-12-2015,2.835,10740.0,8.08,11,1.1,146,39,52,1271.0
211,05-12-2015,2.872,8531.0,6.36,0,723.0,325,0,0,1354.0
212,06-12-2015,3.072,12738.0,9.46,10,811.0,244,45,35,1579.0
213,07-12-2015,3.1069999999999998,13520.0,10.07,13,672.0,261,13,50,1603.0
214,08-12-2015,3.801,15884.0,11.83,2,962.0,248,25,123,2393.0
215,09-12-2015,3.062,10026.0,7.45,17,803.0,204,29,38,1449.0
216,10-12-2015,3.0439999999999996,11868.0,8.84,17,1.19,170,26,54,1411.0
217,11-12-2015,3.082,12381.0,9.22,17,1.0959999999999999,212,30,52,1503.0
218,12-12-2015,2.766,7157.0,5.32,11,605.0,290,0,0,1216.0
219,13-12-2015,2.787,7055.0,5.24,2,690.0,248,19,6,1182.0
220,14-12-2015,2.8310000000000004,9348.0,6.99,18,827.0,179,22,42,1229.0
221,15-12-2015,2.7110000000000003,8566.0,6.39,15,898.0,137,28,33,1038.0
222,16-12-2015,2.714,9786.0,7.27,20,1.1179999999999999,159,29,28,1110.0
223,17-12-2015,2.7089999999999996,8371.0,6.22,18,1.069,146,31,24,1050.0
224,18-12-2015,2.917,9428.0,7.01,10,1.141,220,43,21,1331.0
225,19-12-2015,3.11,13742.0,10.21,6,579.0,357,15,22,1734.0
226,20-12-2015,3.391,15636.0,11.73,2,550.0,316,56,23,1973.0
227,21-12-2015,3.145,12778.0,9.49,15,664.0,313,42,6,1678.0
228,22-12-2015,2.636,7378.0,5.48,12,838.0,176,33,12,1044.0
229,23-12-2015,1.7890000000000001,0.0,0.0,0,1.44,0,0,0,0.0
230,24-12-2015,2.573,6452.0,4.79,0,1.217,223,0,0,962.0
231,25-12-2015,2.8080000000000003,7837.0,5.82,0,663.0,332,0,0,1311.0
232,26-12-2015,2.6260000000000003,6504.0,4.83,0,588.0,282,0,0,1089.0
233,27-12-2015,2.6039999999999996,6444.0,4.84,1,746.0,252,0,0,1030.0
234,28-12-2015,2.845,7845.0,5.83,2,686.0,337,0,0,1359.0
235,29-12-2015,3.135,12260.0,9.11,11,636.0,375,3,26,1718.0
236,30-12-2015,3.05,12154.0,9.05,9,617.0,276,6,45,1567.0
237,31-12-2015,2.8560000000000003,7801.0,5.8,0,577.0,362,0,0,1394.0
238,01-01-2016,2.992,10460.0,7.92,0,685.0,375,0,0,1558.0
239,02-01-2016,3.265,13837.0,10.33,7,601.0,339,15,36,1841.0
240,03-01-2016,3.09,12517.0,9.3,11,1.034,272,9,49,1566.0
241,04-01-2016,3.116,10366.0,7.7,16,650.0,235,53,30,1590.0
